Time (sec),RPM,RPM Rate (RPM/sec),Air Temp (F),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Fuel Angle (deg),Accel Compensation - Fuel (%),Starting Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),U1: ÿÿÿÿÿÿÿÿ Compensation - Fuel (%),Ignition Angle (DBTDC),Coolant Temp Compensation - Ignition (deg),   Oil P,  Fuel P,  Comp P,Oil T (F),Res T (F),   EMPTY,  Comp S,Measured AFR #1,Target AFR,Lambda/AFR STF #1 (%),PWM Duty Cycle % #1,PWM Duty Cycle % #2,PWM Duty Cycle % #3,PWM Duty Cycle % #4,Accel Base Comp (%),
0.330,200,0,102.4,152.8,16.8,3,13.88,11.50,3.03,1.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.08,42.50,13.79,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.5,2.0,100.0,
0.340,200,0,102.4,152.8,16.8,3,13.88,11.60,3.03,1.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.01,44.15,13.78,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.5,2.0,100.0,
0.350,200,0,102.4,152.8,16.9,5,13.88,11.60,3.03,1.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,43.00,13.77,149.2,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.5,2.0,100.0,
0.360,200,0,102.4,152.8,16.8,-5,13.84,11.60,3.03,1.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,44.05,13.77,149.2,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.5,2.0,100.0,
0.370,200,0,102.4,152.8,16.8,-8,13.77,11.70,3.03,1.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,44.88,13.75,149.2,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.5,2.0,100.0,
0.380,200,0,102.4,152.8,16.8,0,13.57,11.70,3.03,1.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,44.95,13.75,149.2,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.5,2.0,100.0,
0.390,200,0,102.4,152.8,16.8,2,13.37,11.70,3.03,1.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,44.42,13.75,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.5,2.0,100.0,
0.400,200,0,102.4,152.8,16.8,3,13.21,11.70,3.03,1.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.01,44.07,13.75,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.5,2.0,100.0,
0.410,200,0,102.4,152.8,16.8,3,13.15,11.80,3.03,1.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.07,44.22,13.75,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.5,2.0,100.0,
0.420,200,0,102.4,152.8,16.9,3,13.24,11.80,3.03,1.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.12,44.34,13.75,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.5,2.0,100.0,
0.430,430,1651,102.4,152.8,16.8,-3,13.42,11.80,2.84,2.0,2.9,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.16,44.75,13.80,147.4,156.4,0.00,0.0,7.36,12.94,100.0,2.0,0.0,59.0,4.0,100.0,
0.444,430,1651,102.4,152.8,16.8,-8,13.70,11.80,2.84,2.0,2.9,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.14,45.13,13.86,147.4,156.4,0.00,0.0,7.36,12.94,100.0,2.0,0.0,59.0,4.0,100.0,
0.450,430,1651,102.4,152.8,16.8,0,13.89,11.90,2.84,2.0,2.9,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.13,45.34,13.80,149.2,156.4,0.00,0.0,7.36,12.94,100.0,2.0,0.0,59.0,4.0,100.0,
0.460,430,1651,102.4,152.8,16.8,0,13.87,11.90,2.84,2.0,2.9,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.09,45.32,13.77,147.4,156.4,0.00,0.0,7.36,12.94,100.0,2.0,0.0,59.0,4.0,100.0,
0.470,430,1651,102.4,152.8,16.9,11,13.88,11.90,2.84,2.0,2.9,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.05,45.20,13.77,147.4,156.4,0.00,0.0,7.36,12.94,100.0,2.0,0.0,59.0,4.0,100.0,
0.480,430,1651,102.4,152.8,16.9,2,13.88,11.70,2.84,2.0,2.9,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.00,43.47,13.79,149.2,156.4,0.00,0.0,7.36,12.94,100.0,2.0,0.0,59.0,4.0,100.0,
0.490,0,1651,102.4,152.8,16.8,-5,13.88,11.10,2.84,2.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,44.00,13.78,147.4,156.4,0.00,0.0,7.36,12.94,100.0,0.0,0.0,65.5,0.0,100.0,
0.500,0,1651,102.4,152.8,16.8,-3,13.88,10.40,2.84,2.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,43.59,13.78,149.2,156.4,0.00,0.0,7.36,12.94,100.0,0.0,0.0,65.5,0.0,100.0,
0.510,0,1651,102.4,152.8,16.8,-5,13.88,10.00,2.84,2.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,42.59,13.78,147.4,156.4,0.00,0.0,7.36,12.94,100.0,0.0,0.0,65.5,0.0,100.0,
0.520,0,1651,102.4,152.8,16.8,0,13.88,10.20,2.84,2.0,2.9,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,42.22,13.79,147.4,156.4,0.00,0.0,7.36,12.94,100.0,0.0,0.0,65.5,0.0,100.0,
0.531,564,0,102.4,152.8,16.8,8,13.88,10.50,3.14,3.0,3.2,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.00,41.72,13.79,149.2,156.4,0.00,0.0,7.36,12.94,100.0,3.0,0.0,57.0,5.5,100.0,
0.540,564,0,102.4,152.8,16.8,0,13.88,10.80,3.14,3.0,3.2,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.08,41.57,13.79,147.4,156.4,0.00,0.0,7.36,12.94,100.0,3.0,0.0,57.0,5.5,100.0,
0.550,564,0,102.4,152.8,16.9,5,13.88,11.00,3.14,3.0,3.2,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.09,41.27,13.79,149.2,156.4,0.00,0.0,7.36,12.94,100.0,3.0,0.0,57.0,5.5,100.0,
0.560,564,0,102.4,152.8,16.8,-11,13.96,11.10,3.14,3.0,3.2,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.02,38.40,13.90,147.4,156.4,0.00,0.0,7.36,12.94,100.0,3.0,0.0,57.0,5.5,100.0,
0.572,564,0,102.4,152.8,16.8,0,13.69,11.30,3.14,3.0,3.2,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.00,39.07,13.63,147.4,156.4,0.00,0.0,7.36,12.94,100.0,3.0,0.0,57.0,5.5,100.0,
0.580,564,0,102.4,152.8,16.8,0,13.11,11.40,3.14,3.0,3.2,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.04,42.65,13.70,147.4,156.4,0.00,0.0,7.36,12.94,100.0,3.0,0.0,57.0,5.5,100.0,
0.590,1034,8106,102.4,152.8,16.8,3,12.76,11.50,2.75,4.7,4.4,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.11,43.42,13.73,147.4,156.4,0.00,0.0,7.36,13.23,100.0,5.5,0.0,49.5,10.0,100.0,
0.600,1034,8106,102.4,152.8,16.9,6,12.91,11.60,2.75,4.7,4.4,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.14,44.38,13.77,147.4,156.4,0.00,0.0,7.36,13.23,100.0,5.5,0.0,49.5,10.0,100.0,
0.610,1034,8106,102.4,152.8,16.9,2,13.37,11.70,2.75,4.7,4.4,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.12,45.07,13.80,147.4,156.4,0.00,0.0,7.36,13.23,100.0,5.5,0.0,49.5,10.0,100.0,
0.620,0,8106,102.4,152.8,16.8,-13,13.61,11.70,2.75,4.7,4.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.08,45.27,13.78,147.4,156.4,0.00,0.0,7.36,13.23,100.0,0.0,0.0,65.5,0.0,100.0,
0.630,0,8106,102.4,152.8,16.8,2,13.74,11.60,2.75,4.7,4.4,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.02,45.05,13.77,147.4,156.4,0.00,0.0,7.36,13.23,100.0,0.0,0.0,65.5,0.0,100.0,
0.640,1241,0,102.4,152.8,16.8,6,13.81,11.20,2.88,6.0,5.7,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.00,43.20,13.77,147.4,156.4,0.00,0.0,7.36,13.72,100.0,6.5,0.0,46.5,12.0,100.0,
0.650,1241,0,104.2,152.8,16.8,0,14.20,10.60,2.88,6.0,5.7,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.00,41.50,14.10,147.4,156.4,0.00,0.0,7.36,13.72,100.0,6.5,0.0,46.5,12.0,100.0,
0.662,1241,0,104.2,152.8,16.9,3,14.93,9.80,2.88,6.0,5.7,100.0,117.7,100.0,100.0,100.0,1.0,0.0,0.05,40.63,14.08,147.4,156.4,0.00,0.0,7.36,13.72,100.0,6.5,0.0,46.5,12.0,100.0,
0.670,0,0,104.2,152.8,16.8,-6,15.07,9.10,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.06,40.75,14.07,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.680,0,0,104.2,152.8,16.8,-5,14.82,8.50,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.05,38.47,13.93,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.690,0,0,104.2,152.8,16.8,0,14.36,8.50,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.06,38.75,13.77,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.700,0,0,104.2,152.8,16.8,5,14.04,8.90,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.09,39.50,13.77,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.710,0,0,104.2,152.8,16.9,6,13.85,9.30,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.10,38.72,13.77,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.720,0,0,104.2,152.8,16.8,-11,13.75,9.60,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.12,38.67,13.77,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.730,0,0,104.2,152.8,16.8,2,13.71,9.90,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.14,38.77,13.77,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.740,0,0,104.2,152.8,16.8,0,13.70,10.20,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.15,38.75,13.78,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.750,0,0,104.2,152.8,16.8,3,13.77,10.50,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.15,39.84,13.79,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.760,0,0,104.2,152.8,16.9,6,13.86,10.70,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.15,39.72,13.80,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.772,0,0,104.2,152.8,16.8,-11,13.91,10.90,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.14,39.52,13.80,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.781,0,0,104.2,152.8,16.8,2,13.96,11.00,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.11,39.30,13.79,149.2,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.790,0,0,104.2,152.8,16.8,3,13.90,11.20,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.08,39.20,13.75,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.800,0,0,104.2,152.8,16.8,3,13.89,11.30,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.04,39.02,13.78,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.810,0,0,104.2,152.8,16.8,-8,13.89,11.30,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,38.92,13.79,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.820,0,0,104.2,152.8,16.8,0,13.87,11.00,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,38.75,13.80,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.830,0,0,104.2,152.8,16.8,0,13.88,10.50,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,38.57,13.78,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.840,0,0,104.2,152.8,16.8,5,13.88,10.10,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,38.50,13.78,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.850,0,0,104.2,152.8,16.8,3,13.88,10.00,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,38.32,13.79,149.2,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.860,0,0,104.2,152.8,16.8,-3,13.88,10.30,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,38.27,13.78,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.870,0,0,104.2,152.8,16.8,-5,13.88,10.50,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,38.17,13.79,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.881,0,0,104.2,152.8,16.8,2,13.88,10.70,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.05,37.97,13.78,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.890,0,0,104.2,152.8,16.8,3,13.88,10.90,2.88,6.0,5.7,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.11,37.84,13.77,147.4,156.4,0.00,0.0,7.36,13.72,100.0,0.0,0.0,65.5,0.0,100.0,
0.900,235,0,106.0,152.8,16.8,3,13.88,11.00,3.04,1.2,4.8,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.16,37.82,13.77,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.0,2.0,100.0,
0.910,235,0,104.2,152.8,16.8,-3,13.88,11.10,3.04,1.2,4.8,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.14,37.70,13.78,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.0,2.0,100.0,
0.920,235,0,106.0,152.8,16.8,-5,13.88,11.30,3.04,1.2,4.8,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.13,37.52,13.79,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.0,2.0,100.0,
0.930,235,0,104.2,152.8,16.8,5,13.90,11.30,3.04,1.2,4.8,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.09,39.27,13.79,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.0,2.0,100.0,
0.940,235,0,106.0,152.8,16.8,3,13.89,11.50,3.04,1.2,4.8,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.02,42.05,13.79,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.0,2.0,100.0,
0.950,235,0,106.0,152.8,16.8,-6,13.89,11.50,3.04,1.2,4.8,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,41.95,13.80,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.0,2.0,100.0,
0.960,235,0,106.0,152.8,16.8,-2,13.87,11.60,3.04,1.2,4.8,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,44.25,13.77,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.0,2.0,100.0,
0.970,235,0,106.0,152.8,16.8,2,13.84,11.60,3.04,1.2,4.8,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,44.22,13.77,147.4,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.0,2.0,100.0,
0.980,235,0,106.0,152.8,16.8,6,13.71,11.60,3.04,1.2,4.8,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,45.13,13.74,149.2,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.0,2.0,100.0,
0.991,235,0,104.2,152.8,16.8,0,13.47,11.60,3.04,1.2,4.8,100.0,124.7,100.0,100.0,100.0,1.0,0.0,0.00,44.59,13.74,149.2,156.4,0.00,0.0,7.36,12.94,100.0,1.0,0.0,62.0,2.0,100.0,
