Time (sec),RPM,RPM Rate (RPM/sec),Air Temp (F),Coolant Temp (F),TPS (%),TPS Rate (%/sec),MAP (psi),Battery Volt (V),Fuel Open Time (ms),Fuel Duty Cycle (%),Fuel Angle (deg),Accel Compensation - Fuel (%),Starting Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Coolant Temp Compensation - Fuel (%),U1: Ã¿Ã¿Ã¿Ã¿Ã¿Ã¿Ã¿Ã¿ Compensation - Fuel (%),Ignition Angle (DBTDC),Coolant Temp Compensation - Ignition (deg),   Oil P,  Fuel P,  Comp P,Oil T (F),Res T (F),   EMPTY,  Comp S,Measured AFR #1,Target AFR,Lambda/AFR STF #1 (%),PWM Duty Cycle % #1,PWM Duty Cycle % #2,PWM Duty Cycle % #3,PWM Duty Cycle % #4,Accel Base Comp (%),
0.210,2092,-3592,95.2,142.0,16.8,0,13.27,13.00,2.45,8.5,13.0,100.0,120.7,100.0,100.0,100.0,1.0,0.0,0.73,46.05,13.86,122.2,145.6,0.00,0.0,7.41,13.97,100.0,0.0,0.0,32.5,20.5,100.4,
0.220,2024,-2293,95.2,142.0,16.8,0,13.54,13.00,2.37,8.0,13.5,100.0,120.7,100.0,100.0,100.0,20.6,0.0,0.78,45.07,13.86,122.2,145.6,0.00,13896.0,7.41,13.97,100.0,0.0,0.0,33.0,20.0,100.4,
0.230,2024,-2293,95.2,142.0,16.8,0,13.74,13.00,2.37,8.0,13.5,100.0,120.7,100.0,100.0,100.0,20.6,0.0,1.06,45.80,13.90,122.2,145.6,0.00,16264.0,7.39,13.97,100.0,0.0,0.0,33.0,20.0,100.4,
0.241,2477,10000,95.2,142.0,16.8,0,13.75,13.00,2.37,9.8,15.0,100.0,120.7,100.0,100.0,100.0,21.0,0.0,0.94,45.15,13.66,122.2,145.6,0.00,16088.0,7.42,13.97,100.0,0.0,0.0,31.5,24.5,100.4,
0.250,2477,10000,95.2,142.0,16.8,0,13.10,13.00,2.37,9.8,15.0,100.0,120.7,100.0,100.0,100.0,21.0,0.0,1.04,43.59,14.00,122.2,145.6,0.00,15872.0,7.39,13.97,100.0,0.0,0.0,31.5,24.5,100.4,
0.260,2477,10000,95.2,142.0,16.8,0,13.22,13.00,2.37,9.8,15.0,100.0,120.7,100.0,100.0,100.0,21.0,0.0,0.94,44.40,13.90,122.2,145.6,0.00,15656.0,7.42,13.97,100.0,0.0,0.0,31.5,24.5,100.4,
0.270,2447,-1223,95.2,142.0,16.8,0,13.44,13.10,2.23,9.1,16.0,100.0,120.7,100.0,100.0,100.0,21.3,0.0,0.98,45.67,13.88,122.2,145.6,0.00,17792.0,7.42,13.97,100.0,0.0,0.0,31.5,24.0,100.4,
0.280,2447,-1223,95.2,142.0,16.8,2,13.73,13.10,2.23,9.1,16.0,100.0,120.7,100.0,100.0,100.0,21.3,0.0,1.11,44.80,13.98,122.2,145.6,0.00,18792.0,7.41,13.97,100.0,0.0,0.0,31.5,24.0,100.4,
0.290,2798,10000,95.2,142.0,16.8,0,13.40,13.10,2.33,10.9,18.2,100.0,120.7,100.0,100.0,100.0,21.7,0.0,1.11,44.97,13.75,122.2,145.6,0.00,18632.0,7.44,13.97,100.0,0.0,0.0,30.5,27.5,100.4,
0.300,2798,10000,95.2,142.0,16.8,-2,13.05,13.10,2.33,10.9,18.2,100.0,120.7,100.0,100.0,100.0,21.7,0.0,1.14,44.77,13.88,122.2,145.6,0.00,18336.0,7.41,13.97,100.0,0.0,0.0,30.5,27.5,100.4,
0.310,2841,2036,95.2,142.0,16.8,0,13.23,13.20,2.11,10.0,20.2,100.0,120.7,100.0,100.0,100.0,22.0,0.0,1.05,43.97,13.92,122.2,145.6,0.00,20712.0,7.44,13.97,100.0,0.0,0.0,30.0,28.0,100.4,
0.320,2841,2036,95.2,142.0,16.8,2,13.52,14.10,2.11,10.0,20.2,100.0,120.7,100.0,100.0,100.0,22.0,0.0,1.28,45.82,13.97,122.2,145.6,0.00,22792.0,7.42,13.97,100.0,0.0,0.0,30.0,28.0,100.4,
0.330,3298,10000,95.2,142.0,16.8,3,13.37,13.80,2.05,11.3,24.5,100.0,120.7,100.0,100.0,100.0,23.6,0.0,1.22,45.00,13.69,122.2,145.6,0.00,22584.0,7.44,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.340,3298,10000,95.2,142.0,16.8,-5,13.03,13.30,2.05,11.3,24.5,100.0,120.7,100.0,100.0,100.0,23.6,0.0,1.25,43.75,14.05,122.2,145.6,0.00,22352.0,7.44,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.350,3108,-9842,95.2,142.0,16.8,5,13.20,13.20,2.11,10.9,27.0,100.0,120.7,100.0,100.0,100.0,22.5,0.0,1.17,45.07,13.96,122.2,145.6,0.00,22088.0,7.45,13.97,100.0,0.0,0.0,29.5,30.0,100.4,
0.360,3108,-9842,95.2,142.0,16.9,8,13.52,13.20,2.11,10.9,27.0,100.0,120.7,100.0,100.0,100.0,22.5,0.0,1.08,45.32,14.00,122.2,145.6,0.00,23112.0,7.44,13.97,100.0,0.0,0.0,29.5,30.0,100.4,
0.370,3022,-4332,95.2,142.0,16.9,-2,13.17,13.20,2.26,11.4,28.3,100.0,120.7,100.0,100.0,100.0,22.5,0.0,0.96,45.05,13.79,122.2,145.6,0.00,22896.0,7.45,13.97,100.0,0.0,0.0,29.5,30.0,100.4,
0.380,3022,-4332,95.2,142.0,16.9,0,12.97,13.20,2.26,11.4,28.3,100.0,120.7,100.0,100.0,100.0,22.5,0.0,0.88,44.40,13.91,122.2,145.6,0.00,22656.0,7.44,13.97,100.0,0.0,0.0,29.5,30.0,100.4,
0.390,3114,4775,95.2,142.0,16.9,2,13.19,15.20,2.12,11.0,29.9,100.0,120.7,100.0,100.0,100.0,22.5,0.0,0.88,44.65,13.96,122.2,145.6,0.00,27720.0,7.44,13.97,100.0,0.0,0.0,29.5,30.0,100.4,
0.400,3617,4775,95.2,142.0,16.9,0,13.54,16.20,2.12,11.0,29.9,100.0,120.7,100.0,100.0,100.0,22.5,0.0,0.92,46.80,14.27,122.2,145.6,0.00,28728.0,7.47,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.410,3617,10000,95.2,142.0,16.9,0,13.13,14.70,1.59,9.6,33.3,100.0,120.7,100.0,100.0,100.0,25.0,0.0,0.73,44.97,13.68,122.2,145.6,0.00,28456.0,7.44,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.420,3435,-10000,95.2,142.0,16.9,0,13.14,13.80,1.66,9.5,35.2,100.0,120.7,100.0,100.0,100.0,23.8,0.0,0.70,44.50,13.96,122.2,145.6,0.00,28136.0,7.47,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.430,3435,-10000,95.2,142.0,16.9,0,13.43,14.80,1.66,9.5,35.2,100.0,120.7,100.0,100.0,100.0,23.8,0.0,0.70,44.92,14.03,122.2,145.6,0.00,29120.0,7.45,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.440,3352,-4637,95.2,142.0,16.9,3,13.32,15.90,1.74,9.7,36.4,100.0,120.7,100.0,100.0,100.0,23.7,0.0,0.54,45.52,13.75,122.2,145.6,0.00,28840.0,7.48,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.450,3352,-4637,95.2,142.0,16.9,-3,12.97,14.60,1.74,9.7,36.4,100.0,120.7,100.0,100.0,100.0,23.7,0.0,0.65,44.67,14.02,122.2,145.6,0.00,28680.0,7.45,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.460,3434,4693,95.2,142.0,16.9,0,13.17,14.40,1.66,9.5,37.6,100.0,120.7,100.0,100.0,100.0,23.6,0.0,0.64,45.20,14.10,122.2,145.6,0.00,34320.0,7.45,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.471,3861,4693,95.2,142.0,17.0,14,13.53,15.20,1.66,9.5,37.6,100.0,120.7,100.0,100.0,100.0,23.6,0.0,0.74,46.25,14.32,122.2,145.6,0.00,34480.0,7.42,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.481,3861,10000,93.4,142.0,17.0,0,13.16,16.40,1.40,9.0,39.9,100.0,120.7,100.0,100.0,100.0,25.5,0.0,0.74,45.72,13.95,122.2,145.6,0.00,34168.0,7.38,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.490,3695,-10000,95.2,142.0,17.0,-6,13.25,16.20,1.40,8.6,41.3,100.0,120.7,100.0,100.0,100.0,24.5,0.0,0.67,45.15,14.10,122.2,145.6,0.00,34008.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.500,3695,-10000,95.2,142.0,17.0,6,13.55,15.20,1.40,8.6,41.3,100.0,120.7,100.0,100.0,100.0,24.5,0.0,0.59,45.07,14.25,122.2,145.6,0.00,34720.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.510,3615,-4820,93.4,142.0,17.0,0,13.06,15.50,1.59,9.6,42.2,100.0,120.7,100.0,100.0,100.0,25.0,0.0,0.51,45.07,13.95,122.2,145.6,0.00,34480.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.521,3770,9741,93.4,142.0,17.0,0,13.05,14.70,1.40,8.8,43.2,100.0,120.7,100.0,100.0,100.0,24.4,0.0,0.55,45.80,14.07,122.2,145.6,0.00,37592.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.530,3770,9741,93.4,142.0,17.0,0,13.40,16.10,1.40,8.8,43.2,100.0,120.7,100.0,100.0,100.0,24.4,0.0,0.50,45.55,14.24,122.2,145.6,0.00,39576.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.540,4254,10000,93.4,142.0,17.0,0,13.15,16.50,1.40,9.9,45.6,100.0,120.7,100.0,100.0,100.0,25.5,0.0,0.41,45.57,14.18,122.2,145.6,0.00,39264.0,7.38,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.550,4173,-5634,93.4,142.0,17.1,8,13.17,15.40,1.40,9.7,47.1,100.0,120.7,100.0,100.0,100.0,25.0,0.0,0.38,45.22,14.27,122.2,145.6,0.00,40104.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.565,4204,2172,93.4,142.0,17.1,-5,13.51,15.70,1.40,9.8,48.5,100.0,120.7,100.0,100.0,100.0,25.1,0.0,0.34,45.34,14.39,122.2,145.6,0.00,40648.0,7.38,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.570,4204,2172,93.4,142.0,17.1,0,13.08,14.20,1.40,9.8,48.5,100.0,120.7,100.0,100.0,100.0,25.1,0.0,0.35,45.34,14.20,122.2,145.6,0.00,40424.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.580,4276,5132,93.4,142.0,17.1,5,13.12,14.50,1.74,12.4,50.0,100.0,120.7,100.0,100.0,100.0,25.1,0.0,0.41,44.38,14.22,122.2,145.6,0.00,44240.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.590,4577,10000,93.4,142.0,17.1,3,13.42,15.90,1.84,14.0,53.3,100.0,120.7,100.0,100.0,100.0,25.7,0.0,0.45,46.52,14.55,122.2,145.6,0.00,44376.0,7.38,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.600,4582,10000,93.4,142.0,17.1,-6,13.06,15.70,1.84,14.0,53.3,100.0,120.7,100.0,100.0,100.0,25.7,0.0,0.34,45.15,14.16,122.2,145.6,0.00,43984.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.610,4582,381,93.4,142.0,17.1,3,13.22,16.20,1.55,11.8,55.9,100.0,120.7,100.0,100.0,100.0,25.8,0.0,0.34,45.90,14.37,122.2,145.6,0.00,47464.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.620,4752,10000,93.4,142.0,17.1,3,13.13,14.80,1.59,12.6,60.5,100.0,120.7,100.0,100.0,100.0,26.4,0.0,0.32,44.47,14.16,122.2,145.6,0.00,46872.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.630,4770,1431,93.4,142.0,17.2,2,12.96,14.70,1.72,13.7,64.3,100.0,120.7,100.0,100.0,100.0,26.5,0.0,0.32,44.22,14.56,122.2,145.6,0.00,49336.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.640,4955,10000,93.4,142.0,17.1,-8,13.16,16.10,1.82,15.0,70.0,100.0,120.7,100.0,100.0,100.0,27.0,0.0,0.35,45.20,14.65,122.2,145.6,0.00,49832.0,7.38,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.651,5006,4255,93.4,142.0,17.1,6,12.77,15.70,1.70,14.2,74.6,100.0,120.7,100.0,100.0,100.0,27.1,0.0,0.29,44.57,14.33,122.2,145.6,0.00,51016.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.660,5244,4255,93.4,142.0,17.2,2,12.91,15.50,1.70,14.2,74.6,100.0,120.7,100.0,100.0,100.0,27.1,0.0,0.32,45.07,14.46,122.2,145.6,0.00,53000.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.670,5244,10000,93.4,142.0,17.2,0,12.70,16.00,1.88,16.4,79.4,100.0,120.7,100.0,100.0,100.0,26.7,0.0,0.25,44.27,14.48,122.2,145.6,0.00,52440.0,7.38,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.680,5333,7910,93.4,142.0,17.2,0,12.63,16.10,1.96,17.4,83.6,100.0,120.7,100.0,100.0,100.0,26.5,0.0,0.23,44.50,14.70,122.2,145.6,0.00,55760.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.690,5609,10000,93.4,142.0,17.2,0,12.61,15.70,2.06,19.3,89.5,100.0,120.7,100.0,100.0,100.0,26.5,0.0,0.25,43.95,14.45,122.2,145.6,0.00,54944.0,7.38,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.700,5653,4145,93.4,142.0,17.2,0,12.40,16.00,2.06,19.4,94.6,100.0,120.7,100.0,100.0,100.0,26.5,0.0,0.25,42.52,14.70,122.2,145.6,0.00,58816.0,7.38,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.710,5871,10000,93.4,142.0,17.2,0,12.43,15.50,2.11,20.6,100.7,100.0,120.7,100.0,100.0,100.0,26.5,0.0,0.32,42.92,14.76,122.2,145.6,0.00,58360.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.720,5860,-1074,93.4,142.0,17.2,0,12.11,15.50,2.11,20.6,105.4,100.0,120.7,100.0,100.0,100.0,26.5,0.0,0.41,43.45,14.68,122.2,145.6,0.00,60968.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.730,5982,10000,93.4,142.0,17.2,0,12.21,15.90,2.12,21.1,109.9,100.0,120.7,100.0,100.0,100.0,26.9,0.0,0.79,43.25,14.77,122.2,145.6,0.00,60480.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.740,6046,6449,93.4,142.0,17.2,3,11.93,15.80,2.13,21.5,113.8,100.0,120.7,100.0,100.0,100.0,27.1,0.0,0.86,43.65,14.74,122.2,145.6,0.00,64376.0,7.36,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.750,6279,10000,93.4,142.0,17.2,5,12.05,16.00,2.14,22.4,118.3,100.0,120.7,100.0,100.0,100.0,27.9,0.0,0.77,43.97,14.98,122.2,145.6,0.00,63552.0,7.36,14.01,100.0,0.0,0.0,29.0,30.0,100.4,
0.761,6263,-1670,93.4,142.0,17.2,-5,11.80,15.90,2.13,22.2,121.7,100.0,120.7,100.0,100.0,100.0,27.8,0.0,0.71,43.67,14.91,122.2,145.6,0.00,66072.0,7.38,13.97,100.0,0.0,0.0,29.0,30.0,100.4,
0.770,6381,10000,93.4,142.0,17.3,11,11.86,15.90,2.17,23.1,125.1,100.0,120.7,100.0,100.0,100.0,28.1,0.0,0.76,43.38,14.93,122.2,145.6,0.00,65496.0,7.36,14.07,100.0,0.0,0.0,29.0,30.0,100.4,
0.780,6631,4496,93.4,142.0,17.3,0,11.72,16.20,2.17,23.2,128.0,100.0,120.7,100.0,100.0,100.0,28.2,0.0,0.80,42.30,15.07,122.2,145.6,0.00,70088.0,7.38,14.04,100.0,0.0,0.0,29.0,30.0,100.4,
0.791,6619,-1323,93.4,142.0,17.3,0,11.70,16.30,2.19,24.2,134.1,100.0,120.7,100.0,100.0,100.0,28.7,0.0,0.88,43.90,15.16,122.2,145.6,0.00,70088.0,7.36,14.10,100.0,0.0,0.0,29.0,30.0,100.4,
0.800,6730,10000,93.4,142.0,17.3,-3,11.70,15.50,2.20,24.7,136.8,100.0,120.7,100.0,100.0,100.0,28.9,0.0,0.92,42.38,15.29,122.2,145.6,0.00,71768.0,7.36,14.10,100.0,0.0,0.0,29.0,30.0,100.4,
0.810,6803,8277,93.4,142.0,17.3,3,11.50,16.10,2.19,24.8,139.4,100.0,120.7,100.0,100.0,100.0,29.0,0.0,0.99,42.32,15.25,122.2,145.6,0.00,72808.0,7.38,14.10,100.0,0.0,0.0,29.0,30.0,100.4,
0.820,7018,10000,93.4,143.8,17.3,0,11.59,16.00,2.14,25.0,142.8,100.0,120.7,100.0,100.0,100.0,29.0,0.0,1.23,44.00,15.37,122.2,145.6,0.00,74256.0,7.36,14.19,100.0,0.0,0.0,31.0,30.0,100.4,
0.830,7093,8866,93.4,142.0,17.3,0,11.29,15.90,2.16,25.5,145.9,100.0,120.7,100.0,100.0,100.0,29.0,0.0,1.42,44.59,15.29,122.2,145.6,0.00,76920.0,7.36,14.14,100.0,0.0,0.0,29.0,30.0,100.4,
0.840,7357,10000,93.4,142.0,17.3,0,11.32,16.20,2.08,25.3,149.5,100.0,120.7,100.0,100.0,100.0,29.2,0.0,1.45,42.67,15.51,122.2,145.6,0.00,76528.0,7.38,14.26,100.0,0.0,0.0,29.0,30.0,100.4,
0.851,7545,10000,93.4,142.0,17.3,3,11.16,15.60,2.05,25.8,155.9,100.0,120.7,100.0,100.0,100.0,29.7,0.0,1.40,40.67,15.44,122.2,145.6,0.00,79784.0,7.36,14.24,100.0,0.0,0.0,29.0,30.0,100.4,
0.860,7603,7350,93.4,142.0,17.3,2,10.98,15.90,2.02,25.6,158.8,100.0,120.7,100.0,100.0,100.0,29.7,0.0,1.32,41.17,15.55,122.2,145.6,0.00,81960.0,7.36,14.26,100.0,0.0,0.0,29.0,30.0,100.4,
0.870,7790,10000,93.4,142.0,17.3,0,10.98,16.00,1.99,25.8,161.9,100.0,120.7,100.0,100.0,100.0,29.6,0.0,1.38,44.15,15.82,122.2,145.6,0.00,81960.0,7.36,14.26,100.0,0.0,0.0,29.0,30.0,100.4,
0.881,7967,10000,93.4,142.0,17.3,-2,10.79,16.20,1.97,26.2,167.3,100.0,120.7,100.0,100.0,100.0,29.6,0.0,1.23,43.22,15.71,122.2,145.6,0.00,85224.0,7.36,14.26,100.0,0.0,0.0,29.0,30.0,100.4,
0.890,8007,5338,93.4,142.0,17.4,8,10.73,15.90,1.95,26.0,169.6,100.0,120.7,100.0,100.0,100.0,29.3,0.0,1.30,39.22,15.85,122.2,145.6,0.00,86200.0,7.36,14.26,100.0,0.0,0.0,29.0,30.0,100.4,
0.900,8134,10000,93.4,142.0,17.4,2,10.77,15.90,1.93,26.2,172.1,100.0,120.7,100.0,100.0,100.0,29.2,0.0,1.43,42.88,16.02,122.2,145.6,0.00,87208.0,7.38,14.26,100.0,0.0,0.0,29.0,30.0,100.4,
0.911,8235,10000,93.4,142.0,17.4,0,10.68,15.90,1.93,26.5,176.4,100.0,120.7,100.0,100.0,100.0,29.4,0.0,1.31,43.92,15.98,122.2,145.6,0.00,89816.0,7.36,14.26,100.0,0.0,0.0,29.0,30.0,100.4,
0.920,8259,3303,93.4,142.0,17.4,0,10.64,16.10,1.91,26.3,178.3,100.0,120.7,100.0,100.0,100.0,29.2,0.0,1.45,40.13,16.12,122.2,145.6,0.00,92592.0,7.36,14.26,100.0,0.0,0.0,29.0,30.0,100.4,
0.930,8370,10000,93.4,142.0,17.4,0,10.76,15.90,1.90,26.4,180.5,100.0,120.7,100.0,100.0,100.0,29.2,0.0,1.41,42.72,16.28,122.2,145.6,0.00,91456.0,7.36,14.26,100.0,0.0,0.0,29.0,30.0,100.4,
0.940,8477,10000,93.4,142.0,17.4,0,10.72,16.40,1.90,26.8,184.5,100.0,120.7,100.0,100.0,100.0,29.5,0.0,1.32,43.75,16.28,122.2,145.6,0.00,93744.0,7.36,14.26,100.0,0.0,0.0,29.0,30.0,100.4,
0.950,8516,5535,93.4,142.0,17.4,0,10.62,16.00,1.90,27.0,186.6,100.0,120.7,100.0,100.0,100.0,29.5,0.0,1.46,38.84,16.38,122.2,145.6,0.00,96152.0,7.36,14.26,100.0,0.0,0.0,29.0,30.0,100.4,
0.960,8670,7658,93.4,142.0,17.4,0,10.64,16.30,1.88,27.2,191.1,100.0,120.7,100.0,100.0,100.0,29.3,0.0,1.34,44.17,16.51,122.2,145.6,0.00,96152.0,7.38,14.26,100.0,0.0,0.0,29.0,30.0,100.4,
0.970,8782,10000,93.4,142.0,17.4,0,10.70,16.00,1.87,27.4,193.6,100.0,120.7,100.0,100.0,100.0,29.5,0.0,1.53,40.67,16.56,122.2,145.6,0.00,96768.0,7.36,14.26,100.0,0.0,0.0,29.0,30.0,100.4,
